year,group_size,year_avg_max_temp,year_avg_min_temp,year_avg_mean_temp,year_avg_total_precip
2014,365,8.63,-1.44,3.6,2.85
2015,365,8.73,-1.74,3.5,2.76
2016,366,9.36,-0.82,4.28,2.93
2017,365,9.18,-0.84,4.18,3.11
2018,365,7.51,-2.56,2.47,2.59
2019,365,6.8,-3.34,1.73,2.58
2020,366,8.18,-2.06,3.06,2.54
2021,365,9.24,-0.84,4.2,2.28
2022,365,8.04,-2.29,2.88,2.72
2023,365,8.98,-0.84,4.07,2.53
2024,366,9.72,-0.1,4.81,2.4
2025,99,-4.71,-14.5,-9.61,1.85
