date,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
1871-04-13,1,5.0,0.6,2.8,0.0,0.0
1871-04-14,1,9.4,1.1,5.3,0.0,0.0
1871-04-15,1,9.4,0.6,5.0,0.0,0.0
1871-04-16,1,10.0,0.6,5.3,0.0,0.0
1871-04-17,1,5.6,-0.6,2.5,2.3,0.0
1871-04-18,1,5.0,-0.6,2.2,0.0,0.0
1871-04-19,1,11.7,-0.6,5.6,0.0,0.0
1871-04-20,1,2.8,-0.6,1.1,21.6,0.0
1871-04-21,1,4.4,1.1,2.8,0.0,0.0
1871-04-22,1,7.8,3.3,5.6,0.0,0.0
1871-04-23,1,5.6,2.2,3.9,0.0,0.0
1871-04-24,1,6.7,0.6,3.7,4.8,0.0
1871-04-25,1,6.7,0.6,3.7,0.0,0.0
1871-04-26,1,7.8,1.1,4.5,4.1,0.0
1871-04-27,1,9.4,0.6,5.0,0.0,0.0
1871-04-28,1,7.8,2.8,5.3,0.0,0.0
1871-04-29,1,6.7,2.2,4.5,23.1,0.0
1871-04-30,1,7.2,4.4,5.8,0.0,0.0
1871-05-01,1,6.7,2.8,4.8,8.6,0.0
1871-05-02,1,7.8,2.8,5.3,0.0,0.0
1871-05-03,1,8.9,2.2,5.6,0.0,0.0
1871-05-04,1,8.3,1.1,4.7,0.0,0.0
1871-05-05,1,1.7,1.1,1.4,0.0,0.0
1871-05-06,1,7.2,2.8,5.0,40.6,0.0
1871-05-07,1,5.0,2.2,3.6,0.0,0.0
1871-05-08,1,6.1,2.8,4.5,15.7,0.0
1871-05-09,1,8.3,1.1,4.7,0.0,0.0
1871-05-10,1,8.9,3.3,6.1,0.0,0.0
1871-05-11,1,10.0,3.9,7.0,0.0,0.0
1871-05-12,1,13.3,6.1,9.7,0.0,1.7
1871-05-13,1,7.2,4.4,5.8,0.0,0.0
1871-05-14,1,9.4,1.7,5.6,0.0,0.0
1871-05-15,1,8.3,2.8,5.6,0.0,0.0
1871-05-16,1,12.8,2.2,7.5,0.0,0.0
1871-05-17,1,12.2,5.6,8.9,5.6,0.9
1871-05-18,1,12.8,4.4,8.6,0.0,0.6
1871-05-19,1,13.3,4.4,8.9,0.0,0.85
1871-05-20,1,11.1,6.1,8.6,0.0,0.6
1871-05-21,1,11.1,7.2,9.2,0.0,1.15
1871-05-22,1,10.0,8.3,9.2,0.0,1.15
1871-05-23,1,10.6,7.2,8.9,9.4,0.9
